,Time,Voltage
0,0.0,1.002550265019033
1,1.0,1.0025717510108894
2,2.0,1.0027042492802674
3,3.0,1.0027985320261226
4,4.0,1.0029184713971189
5,5.0,1.0029725874042639
6,6.0,1.0028812154865372
7,7.0,1.0028775955270521
8,8.0,1.002974135348527
9,9.0,1.0030037516185066
10,10.0,1.003001966404877
11,11.0,1.0031405787313539
12,12.0,1.0033746410918307
13,13.0,1.0033395429318015
14,14.0,1.0033007356634385
15,15.0,1.003214425816151
16,16.0,1.0032932989383219
17,17.0,1.003211081391726
18,18.0,1.0032576439745666
19,19.0,1.0032598777980528
20,20.0,1.0032380042714237
21,21.0,1.0031924700185066
22,22.0,1.003146060016011
23,23.0,1.0030878645079693
24,24.0,1.003031587591042
25,25.0,1.003088086719747
26,26.0,1.0030962956270721
27,27.0,1.0031242199729093
28,28.0,1.0031275679555605
29,29.0,1.0031235852926847
30,30.0,1.0030972566404894
31,31.0,1.003161452513447
32,32.0,1.0030992125004345
33,33.0,1.0029621494738723
34,34.0,1.002873662989736
35,35.0,1.0030114196515783
36,36.0,1.0031428441096653
37,37.0,1.0030797079395661
38,38.0,1.0030121813021946
39,39.0,1.0027666058961062
40,40.0,1.0026756488638828
41,41.0,1.0026183777926025
42,42.0,1.0025415859179887
43,43.0,1.0026216493023192
44,44.0,1.0026888280928745
45,45.0,1.002803392212158
46,46.0,1.0027802856993513
47,47.0,1.0027815566765388
48,48.0,1.0027297203046381
49,49.0,1.0026457654883265
50,50.0,1.0026354075642414
51,51.0,1.002595452538598
52,52.0,1.0025866322025376
53,53.0,1.0026787800041923
54,54.0,1.00285334508114
55,55.0,1.0029071781044707
56,56.0,1.0029963522253567
57,57.0,1.0030694026323217
58,58.0,1.0031219137825729
59,59.0,1.0031092525818828
60,60.0,1.0029732691202633
61,61.0,1.0028862171179251
62,62.0,1.0028321335313264
63,63.0,1.0028334744273493
64,64.0,1.0028551992397075
65,65.0,1.0028755195964494
66,66.0,1.0028672810314736
67,67.0,1.002916405173009
68,68.0,1.0028649578700257
69,69.0,1.002839164170202
70,70.0,1.0027506064604645
71,71.0,1.0028448749807675
72,72.0,1.0029078361611905
73,73.0,1.0029593633352043
74,74.0,1.002861663356203
75,75.0,1.0027909502000372
76,76.0,1.0028597323894568
77,77.0,1.0028666105291932
78,78.0,1.0029430103927708
79,79.0,1.0028924462030007
80,80.0,1.0028912873330067
81,81.0,1.0028863244522097
82,82.0,1.0029511445025163
83,83.0,1.0029552094118659
84,84.0,1.0029207663072486
85,85.0,1.0028766305479009
86,86.0,1.0028940894370024
87,87.0,1.0028104484773364
88,88.0,1.0027927789088011
89,89.0,1.0028832016988403
90,90.0,1.0029652473207125
91,91.0,1.0029531974994552
92,92.0,1.0029606057420832
93,93.0,1.0029673346463186
94,94.0,1.0029543373346823
95,95.0,1.0029178700934458
96,96.0,1.002891832546608
97,97.0,1.0029696661855954
98,98.0,1.002945087459564
99,99.0,1.0028975630412962
100,100.0,1.002969972153937
101,101.0,1.0031090494227077
102,102.0,1.0032196037644794
103,103.0,1.0031921614004924
104,104.0,1.0031520944313772
105,105.0,1.0031234803627023
106,106.0,1.00303775680388
107,107.0,1.0030773421308075
108,108.0,1.0030522109291995
109,109.0,1.0030809027914882
110,110.0,1.0031338191168526
111,111.0,1.0031133675503892
112,112.0,1.003155390135879
113,113.0,1.0030924463923232
114,114.0,1.0030991131919604
115,115.0,1.0030590187884836
116,116.0,1.0031650600196342
117,117.0,1.0031161433123053
118,118.0,1.0031740785970515
119,119.0,1.0032551540146786
120,120.0,1.0032829057859718
121,121.0,1.0032732606477646
122,122.0,1.003361706598921
123,123.0,1.0033885260895805
124,124.0,1.0032668674796903
125,125.0,1.003145468856281
126,126.0,1.0031175106954036
127,127.0,1.0029536907276373
128,128.0,1.0028805890238328
129,129.0,1.0029245127572912
130,130.0,1.003015878428182
131,131.0,1.0030849556855777
132,132.0,1.0030936476188037
133,133.0,1.0031416717652606
134,134.0,1.0030264296588545
135,135.0,1.002922268094057
136,136.0,1.002957953331207
137,137.0,1.003053414076902
138,138.0,1.0031356260595767
139,139.0,1.003106714217368
140,140.0,1.0030842817927
141,141.0,1.0031270279422007
142,142.0,1.0031482947825678
143,143.0,1.0031804787449694
144,144.0,1.0031786890738275
145,145.0,1.0030879959659689
146,146.0,1.0030253517423773
147,147.0,1.003099038125954
148,148.0,1.0030709999484053
149,149.0,1.003141046363356
150,150.0,1.0031677264709242
151,151.0,1.0032602685593823
152,152.0,1.0032654128274792
153,153.0,1.0032585646835754
154,154.0,1.0031644595883535
155,155.0,1.0031360986912188
156,156.0,1.0031056979167141
157,157.0,1.0030485208000666
158,158.0,1.0030292121287772
159,159.0,1.0029624560673998
160,160.0,1.0030548140785034
161,161.0,1.0030134955711727
162,162.0,1.0030530676918632
163,163.0,1.0029968404152156
164,164.0,1.002968391911654
165,165.0,1.0030177779360911
166,166.0,1.0031383489830035
167,167.0,1.0030942275818426
168,168.0,1.0030643970584794
169,169.0,1.0030733822157247
170,170.0,1.0030712117413354
171,171.0,1.0030033469795439
172,172.0,1.0030620422305108
173,173.0,1.0030464845840423
174,174.0,1.0030994481037028
175,175.0,1.003034758701514
176,176.0,1.0029542206879536
177,177.0,1.0030052259747728
178,178.0,1.002946340159903
179,179.0,1.0027936494318006
180,180.0,1.0027868796310915
181,181.0,1.0026759836269583
182,182.0,1.0027203925379264
183,183.0,1.0028330289038592
184,184.0,1.0029122741016754
185,185.0,1.0029783912543289
186,186.0,1.002919293006469
187,187.0,1.0029057740338423
188,188.0,1.002921509508955
189,189.0,1.0028922810278962
190,190.0,1.002869907636066
191,191.0,1.0028930751546803
192,192.0,1.002870186757139
193,193.0,1.0028015586469874
194,194.0,1.0028251440788252
195,195.0,1.0028051124069737
196,196.0,1.0028808830101574
197,197.0,1.0029697211457167
198,198.0,1.0029714616448655
199,199.0,1.0029246645246868
200,200.0,1.0026594153347779
201,201.0,1.002528767106029
202,202.0,1.002864665977161
203,203.0,1.0033824261809996
204,204.0,1.0034285990247542
205,205.0,1.0026073701056035
206,206.0,1.0018480443822209
207,207.0,1.0026660792001973
