,Time,Voltage
0,0.0,1.0022867817790058
1,1.0,1.002306289738245
2,2.0,1.0024367211108904
3,3.0,1.0025317790168977
4,4.0,1.0026573886273562
5,5.0,1.00272168499024
6,6.0,1.002642518638568
7,7.0,1.0026503210835533
8,8.0,1.0027549980776715
9,9.0,1.0027890553084173
10,10.0,1.00279088642071
11,11.0,1.0029353415221798
12,12.0,1.0031781189347482
13,13.0,1.0031544591731236
14,14.0,1.0031293690209184
15,15.0,1.003055857598318
16,16.0,1.0031441223905566
17,17.0,1.003067953587844
18,18.0,1.0031196409172516
19,19.0,1.0031279301477127
20,20.0,1.0031141390253764
21,21.0,1.003077614097073
22,22.0,1.0030392421043415
23,23.0,1.0029878003935127
24,24.0,1.002937735149918
25,25.0,1.003000659840566
26,26.0,1.003015337588589
27,27.0,1.0030490055225851
28,28.0,1.0030568759894851
29,29.0,1.0030564478899886
30,30.0,1.003033713590061
31,31.0,1.0031025195934613
32,32.0,1.003045970678606
33,33.0,1.0029150064488728
34,34.0,1.0028321369292306
35,35.0,1.002974894957867
36,36.0,1.00311105884556
37,37.0,1.003053816959071
38,38.0,1.0029940448366645
39,39.0,1.002756514734848
40,40.0,1.002671431454292
41,41.0,1.0026155583644876
42,42.0,1.0025346727489957
43,43.0,1.0026067997720876
44,44.0,1.0026649090035586
45,45.0,1.002770827298706
46,46.0,1.002740495547661
47,47.0,1.002737382124054
48,48.0,1.0026843049680847
49,49.0,1.0026012874756771
50,50.0,1.0025927729223503
51,51.0,1.0025536976768934
52,52.0,1.0025444650424673
53,53.0,1.0026364993636108
54,54.0,1.0028125436422695
55,55.0,1.002869884166887
56,56.0,1.002963977413729
57,57.0,1.0030420761944354
58,58.0,1.0030996060710484
59,59.0,1.0030920705390727
60,60.0,1.0029608052337964
61,61.0,1.0028779893356614
62,62.0,1.0028281875406175
63,63.0,1.0028340367893485
64,64.0,1.0028612484396615
65,65.0,1.0028892911327152
66,66.0,1.0028905321463844
67,67.0,1.0029491968787432
68,68.0,1.0029057025701842
69,69.0,1.0028843041009483
70,70.0,1.0027963240916051
71,71.0,1.0028902980454564
72,72.0,1.002954075727242
73,73.0,1.003007309002822
74,74.0,1.0029109091952872
75,75.0,1.0028401812571004
76,76.0,1.002908238988396
77,77.0,1.0029149690795565
78,78.0,1.0029919612225986
79,79.0,1.0029423294096411
80,80.0,1.0029429941152033
81,81.0,1.0029405532557572
82,82.0,1.003007528468789
83,83.0,1.0030132002138192
84,84.0,1.0029801805899954
85,85.0,1.002936858640273
86,86.0,1.0029542556681974
87,87.0,1.0028698503056823
88,88.0,1.002851372061999
89,89.0,1.0029413439922075
90,90.0,1.003023167140252
91,91.0,1.0030110705143578
92,92.0,1.0030177748390399
93,93.0,1.0030227612538458
94,94.0,1.0030076786947784
95,95.0,1.0029700408369213
96,96.0,1.0029448180184992
97,97.0,1.0030256820396186
98,98.0,1.0030063017703057
99,99.0,1.0029643118551934
100,100.0,1.0030410994982935
101,101.0,1.0031838655899998
102,102.0,1.0032981125035751
103,103.0,1.0032748212747749
104,104.0,1.0032395201194373
105,105.0,1.003215665160163
106,106.0,1.0031335926033798
107,107.0,1.0031752520462827
108,108.0,1.0031519485643303
109,109.0,1.0031844757677661
110,110.0,1.003243947246404
111,111.0,1.0032318306319965
112,112.0,1.0032828811590122
113,113.0,1.0032280779968292
114,114.0,1.0032395133327932
115,115.0,1.003199900623363
116,116.0,1.0033035655390878
117,117.0,1.003251201666461
118,118.0,1.0033063479078987
119,119.0,1.0033871601991835
120,120.0,1.0034177601909626
121,121.0,1.0034131755361249
122,122.0,1.0035068160561367
123,123.0,1.0035360782808724
124,124.0,1.0034130664715941
125,125.0,1.0032877633786503
126,126.0,1.0032542563278521
127,127.0,1.0030843699743048
128,128.0,1.003006062264853
129,129.0,1.0030460727227741
130,130.0,1.0031350802480485
131,131.0,1.0032040466307677
132,132.0,1.0032152709665272
133,133.0,1.003268307187103
134,134.0,1.0031597928803233
135,135.0,1.003061445070579
136,136.0,1.0030988891168007
137,137.0,1.0031920968859307
138,138.0,1.0032711180905265
139,139.0,1.003240632757972
140,140.0,1.0032192374737334
141,141.0,1.0032650270043095
142,142.0,1.0032894702358066
143,143.0,1.0033236670265386
144,144.0,1.0033221130450398
145,145.0,1.003229662587074
146,146.0,1.0031645972707932
147,147.0,1.003236758582537
148,148.0,1.0032087314241778
149,149.0,1.0032809808785281
150,150.0,1.003311835990472
151,151.0,1.003409925171664
152,152.0,1.0034212292196818
153,153.0,1.0034194755585675
154,154.0,1.003327420148602
155,155.0,1.003296972225166
156,156.0,1.003262058188917
157,157.0,1.0032014685745874
158,158.0,1.0031817899688724
159,159.0,1.003117024944924
160,160.0,1.003211735121626
161,161.0,1.0031716682676195
162,162.0,1.0032115634434466
163,163.0,1.0031559772497183
164,164.0,1.0031291774242497
165,165.0,1.0031811941163924
166,166.0,1.0033061344174345
167,167.0,1.0032690701764477
168,168.0,1.003247830074209
169,169.0,1.003264394497161
170,170.0,1.0032664182262743
171,171.0,1.0031981204834277
172,172.0,1.0032532882017722
173,173.0,1.00323388397363
174,174.0,1.0032847761916048
175,175.0,1.003221231994073
176,176.0,1.0031453644574377
177,177.0,1.0032033097220632
178,178.0,1.00315196136262
179,179.0,1.0030068164377635
180,180.0,1.0030070039945846
181,181.0,1.0029010986815332
182,182.0,1.0029471432795718
183,183.0,1.0030576759914909
184,184.0,1.003132542738797
185,185.0,1.0031949302908576
186,186.0,1.0031350409235087
187,187.0,1.0031241535100903
188,188.0,1.0031440390851631
