Reactive,Active,Time
797.8834533691406,-348.8745346069336,0
800.3074951171875,-355.72645568847656,1
807.5184631347656,-348.8145446777344,2
805.3473815917969,-359.70902252197266,3
802.88525390625,-368.9710235595703,4
804.7923889160156,-369.161865234375,5
804.2375793457031,-377.0464782714844,6
809.3660888671875,-374.31280517578125,7
809.3457641601562,-383.74241638183594,8
810.9624938964844,-389.1583557128906,9
814.78271484375,-390.2742919921875,10
817.8046875,-392.66514587402344,11
820.8914794921875,-394.4746856689453,12
821.2729797363281,-400.3228454589844,13
826.6402587890625,-394.2871856689453,14
822.1150817871094,-408.80548095703125,15
827.4522399902344,-401.3206329345703,16
829.0088195800781,-402.6841278076172,17
827.9162292480469,-408.97027587890625,18
829.4246520996094,-409.1613464355469,19
834.1468505859375,-402.79595947265625,20
835.2741394042969,-403.3087921142578,21
830.2456970214844,-414.91648864746094,22
831.2577209472656,-412.51918029785156,23
830.2071533203125,-417.58543395996094,24
832.5464172363281,-416.4619445800781,25
832.9770812988281,-419.6445007324219,26
826.55712890625,-437.1170654296875,27
828.2309875488281,-437.83245849609375,28
838.6452941894531,-423.67515563964844,29
842.8316345214844,-423.9228057861328,30
844.5626220703125,-424.6330261230469,31
840.6213684082031,-433.3058624267578,32
834.7658386230469,-444.8841247558594,33
839.3321228027344,-436.1073303222656,34
841.2951049804688,-436.70970153808594,35
837.8465881347656,-448.7496643066406,36
840.2388610839844,-447.64805603027344,37
843.7234497070312,-446.0548095703125,38
844.610595703125,-449.3421936035156,39
847.5613403320312,-447.2829895019531,40
846.4964904785156,-453.3515625,41
847.2453918457031,-454.62611389160156,42
845.7644348144531,-460.8009338378906,43
847.3404235839844,-460.80775451660156,44
849.93017578125,-459.82305908203125,45
848.1639404296875,-468.97682189941406,46
851.558349609375,-466.04644775390625,47
852.4904479980469,-468.38401794433594,48
850.9406433105469,-475.8391571044922,49
854.8859252929688,-470.8977813720703,50
850.6219482421875,-484.79168701171875,51
854.4297180175781,-480.983642578125,52
858.7527465820312,-477.82090759277344,53
861.5164489746094,-477.15000915527344,54
859.387939453125,-484.72613525390625,55
859.9422912597656,-484.100830078125,56
857.679931640625,-490.5685729980469,57
854.5985412597656,-499.7943420410156,58
862.4424133300781,-486.5226745605469,59
864.8643493652344,-486.6376190185547,60
862.6669921875,-494.2519226074219,61
865.4384765625,-488.2044982910156,62
861.1840209960938,-497.411865234375,63
862.1849670410156,-495.28948974609375,64
860.3482360839844,-500.91302490234375,65
862.2352294921875,-500.18280029296875,66
857.7089538574219,-515.2580108642578,67
865.5240783691406,-503.3863220214844,68
867.9669799804688,-505.18711853027344,69
866.3719482421875,-513.6560211181641,70
870.4414672851562,-507.59637451171875,71
870.0325927734375,-510.91932678222656,72
870.5534362792969,-511.24658203125,73
874.1380920410156,-504.2318115234375,74
872.9474487304688,-507.09503173828125,75
869.7366027832031,-512.4831390380859,76
864.4788208007812,-522.3516998291016,77
861.8568420410156,-528.3170928955078,78
871.7165222167969,-510.781494140625,79
874.5294799804688,-510.8507537841797,80
868.1692199707031,-527.2029418945312,81
871.7833557128906,-519.0169830322266,82
876.3958740234375,-510.48948669433594,83
876.5519714355469,-512.3133544921875,84
871.9163818359375,-521.9508819580078,85
874.3364868164062,-514.5195922851562,86
871.33740234375,-520.3300323486328,87
872.9013061523438,-516.1379241943359,88
871.4008483886719,-518.5547332763672,89
864.9255981445312,-532.6081237792969,90
868.2445678710938,-526.0256195068359,91
873.7544860839844,-518.5685119628906,92
877.9295654296875,-512.6317291259766,93
873.2491149902344,-522.6957855224609,94
875.3726806640625,-514.7333679199219,95
871.1980590820312,-521.5521240234375,96
871.1313171386719,-520.4542694091797,97
873.4583129882812,-515.0249176025391,98
874.6093139648438,-512.4975128173828,99
868.087646484375,-525.8053436279297,100
869.0193786621094,-521.7189788818359,101
871.5281982421875,-516.448974609375,102
871.1111755371094,-518.2037200927734,103
871.004150390625,-517.7221527099609,104
872.6336059570312,-512.4680328369141,105
869.37744140625,-517.7595977783203,106
874.109619140625,-504.62896728515625,107
874.3778686523438,-500.9305114746094,108
867.6622009277344,-510.3452453613281,109
862.3724670410156,-515.6153869628906,110
864.0495300292969,-508.29730224609375,111
863.0809020996094,-511.16363525390625,112
868.7667846679688,-499.6163635253906,113
867.611572265625,-502.3874816894531,114
865.1376342773438,-504.8220977783203,115
861.8132629394531,-507.6803741455078,116
864.2005004882812,-499.1822204589844,117
863.3404541015625,-499.9881134033203,118
863.8611145019531,-496.4693298339844,119
898.937255859375,-460.1696319580078,120
973.3298950195312,-375.6295166015625,121
989.7983093261719,-350.60069274902344,122
935.6609802246094,-360.626220703125,123
852.2751159667969,-375.96221923828125,124
782.7739562988281,-388.34527587890625,125
764.9408569335938,-385.6398010253906,126
822.3101806640625,-340.11563873291016,127
909.2088317871094,-276.6563186645508,128
939.7335205078125,-253.00760650634766,129
888.462890625,-274.47452545166016,130
807.8839416503906,-311.4403839111328,131
758.7008972167969,-321.3248062133789,132
782.0833740234375,-307.5702438354492,133
881.8154296875,-253.46623992919922,134
975.8150024414062,-206.15240478515625,135
984.8497924804688,-210.0560073852539,136
938.6683959960938,-232.66321563720703,137
887.1415100097656,-259.8449020385742,138
862.2635192871094,-284.5516662597656,139
903.0678405761719,-268.65222930908203,140
977.6814880371094,-231.68415069580078,141
1025.3448486328125,-218.88844299316406,142
1020.5473022460938,-220.7947540283203,143
975.3075256347656,-239.11113739013672,144
935.3926391601562,-247.48523712158203,145
915.9210205078125,-243.0314483642578,146
916.6727600097656,-233.41060638427734,147
928.2279968261719,-225.2062225341797,148
947.2947692871094,-208.0092315673828,149
950.611083984375,-205.91477966308594,150
949.8719787597656,-196.7142105102539,151
949.3982849121094,-185.83600616455078,152
951.0953063964844,-174.46894454956055,153
947.8737487792969,-171.8463020324707,154
946.8833312988281,-163.81544494628906,155
944.0364074707031,-159.9129409790039,156
942.9203796386719,-152.75923919677734,157
