Reactive,Active,Time
748.2486877441406,-143.02601623535156,0
751.1249084472656,-138.86198043823242,1
752.9795379638672,-136.2117919921875,2
745.0776672363281,-151.08043670654297,3
748.0197601318359,-143.56062698364258,4
749.8778686523438,-141.17330932617188,5
752.5591278076172,-138.05976104736328,6
749.3260803222656,-144.70955657958984,7
750.8759307861328,-140.5528450012207,8
753.9169006347656,-134.01877212524414,9
751.2283172607422,-137.4752655029297,10
749.2036743164062,-137.82067108154297,11
740.4009246826172,-152.48736190795898,12
739.2375640869141,-155.31270217895508,13
747.1169128417969,-146.09738159179688,14
756.1937255859375,-137.21892929077148,15
752.6789245605469,-148.15680313110352,16
754.1538391113281,-142.78812789916992,17
755.7505645751953,-136.5659065246582,18
746.1550598144531,-152.3936538696289,19
745.3375396728516,-149.80927276611328,20
749.4090728759766,-141.65940856933594,21
755.8806610107422,-131.50043106079102,22
745.9416046142578,-150.45534896850586,23
744.2090148925781,-149.74567794799805,24
745.2021789550781,-146.89809036254883,25
746.8127288818359,-147.17955780029297,26
748.3421173095703,-147.74694442749023,27
748.2505645751953,-150.3237075805664,28
757.6968383789062,-133.47525787353516,29
751.2986297607422,-146.2313232421875,30
748.9309387207031,-146.19281387329102,31
747.7491302490234,-143.5396957397461,32
743.8490295410156,-148.25601196289062,33
743.8485260009766,-146.54238510131836,34
745.0376129150391,-145.15861129760742,35
747.9174041748047,-141.62410354614258,36
744.4365234375,-149.68790817260742,37
749.3799591064453,-139.31518936157227,38
743.3055267333984,-150.65671920776367,39
741.7685394287109,-153.1849365234375,40
739.1797027587891,-160.70795059204102,41
745.3200073242188,-154.7490577697754,42
749.2240905761719,-154.93622589111328,43
755.0312805175781,-148.79363250732422,44
751.1457824707031,-157.60243606567383,45
749.9062042236328,-158.02594757080078,46
750.894287109375,-154.42577362060547,47
750.615966796875,-154.18193435668945,48
752.1119842529297,-149.7370834350586,49
745.19384765625,-161.31035614013672,50
746.3092803955078,-157.3282928466797,51
752.1921844482422,-146.94014739990234,52
754.4842071533203,-143.59740829467773,53
749.9252014160156,-149.59905624389648,54
747.8559265136719,-147.26929092407227,55
742.7498016357422,-152.2306137084961,56
739.1128234863281,-157.5310935974121,57
740.7407684326172,-156.33049392700195,58
742.584228515625,-158.04079055786133,59
743.3792724609375,-163.02196884155273,60
744.9273376464844,-166.38971328735352,61
752.1841735839844,-157.76972579956055,62
755.1475524902344,-156.24160766601562,63
758.5962524414062,-149.40585708618164,64
752.2621307373047,-157.23946380615234,65
745.5722808837891,-163.46951293945312,66
744.3884124755859,-161.72591400146484,67
747.9116821289062,-156.0278663635254,68
739.8072509765625,-175.42938995361328,69
746.7623748779297,-164.80284118652344,70
748.5794677734375,-167.37510681152344,71
752.0120086669922,-166.0458755493164,72
