"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
0.000277777777777778, 1018.86973615935, 1470.67199386299, 1018.86973615935, 1789.12594659917, 26.1265712869477, 72.4523124784371, 26.1265712869477
0.000555555555555556, 1067.67569567876, 1472.53664133453, 1067.67569567876, 1818.87205465803, 26.7100929698514, 74.2868505332619, 26.7100929698514
0.000833333333333333, 1145.08796386617, 1475.37232969561, 1145.08796386617, 1867.60540699116, 27.3103111539725, 76.8195317984018, 27.3103111539725
0.00111111111111111, 1197.74834618043, 1478.22296293792, 1197.74834618043, 1902.56254271309, 28.0125655171784, 79.2836312663205, 28.0125655171784
0.00138888888888889, 1148.76950753026, 1474.26431303275, 1197.74834618043, 1902.56254271309, 26.6097243228845, 75.5972266521426, 28.0125655171784
0.00166666666666667, 1073.29527613603, 1469.5217209582, 1197.74834618043, 1902.56254271309, 25.1433785775197, 71.3302752026658, 28.0125655171784
0.00194444444444444, 1043.3697568478, 1467.84087140111, 1197.74834618043, 1902.56254271309, 24.5458517552223, 69.7192639116706, 28.0125655171784
0.00222222222222222, 889.600460100503, 1458.32744619628, 1197.74834618043, 1902.56254271309, 21.8021761974974, 61.5298220287181, 28.0125655171784
0.0025, 865.400567871949, 1456.80742602347, 1197.74834618043, 1902.56254271309, 21.5491014223101, 60.3901173990137, 28.0125655171784
0.00277777777777778, 786.527135757524, 1452.46197945658, 1197.74834618043, 1902.56254271309, 20.2020543423775, 56.7045638772587, 28.0125655171784
0.00305555555555556, 749.356702054201, 1450.7646799603, 1197.74834618043, 1902.56254271309, 19.8404157182688, 55.457041306701, 28.0125655171784
0.00333333333333333, 933.780814066926, 1458.70089844154, 1197.74834618043, 1902.56254271309, 21.9144468729583, 62.4027262472019, 28.0125655171784
0.00361111111111111, 949.854090500337, 1460.36891179893, 1197.74834618043, 1902.56254271309, 22.4054099113222, 63.6223683164873, 28.0125655171784
0.00388888888888889, 1059.48927146543, 1467.08994556352, 1197.74834618043, 1902.56254271309, 24.4980220317248, 69.4487161373938, 28.0125655171784
0.00416666666666667, 1234.70890781133, 1479.32088702368, 1234.70890781133, 1926.88774291944, 27.8710351622073, 79.6676862922798, 28.0125655171784
0.00444444444444444, 1419.94099735747, 1493.21137420731, 1419.94099735747, 2060.56124491329, 31.9065282531964, 91.8565502696863, 31.9065282531964
0.00472222222222222, 1388.56892785887, 1491.592948093, 1419.94099735747, 2060.56124491329, 31.4282144977664, 90.3521197766351, 31.9065282531964
0.005, 1347.27617780482, 1488.76132492628, 1419.94099735747, 2060.56124491329, 30.519469867899, 87.7380701616296, 31.9065282531964
0.00527777777777778, 1160.27731723767, 1475.05211675806, 1419.94099735747, 2060.56124491329, 26.7914798072212, 76.1444624052978, 31.9065282531964
0.00555555555555556, 1160.30060344351, 1474.88137252462, 1419.94099735747, 2060.56124491329, 26.9780110743645, 76.2124904841382, 31.9065282531964
0.00583333333333333, 1054.94232545304, 1468.17482439856, 1419.94099735747, 2060.56124491329, 25.1297691127613, 70.2562906082743, 31.9065282531964
0.00611111111111111, 999.445642103096, 1465.04317633539, 1419.94099735747, 2060.56124491329, 24.2819526625856, 67.4639973251604, 31.9065282531964
0.00638888888888889, 983.41308244102, 1464.74178395508, 1419.94099735747, 2060.56124491329, 24.3322656623032, 67.4385236061807, 31.9065282531964
0.00666666666666667, 1059.50950096989, 1468.27283807133, 1419.94099735747, 2060.56124491329, 25.3583488799968, 70.7831036851389, 31.9065282531964
0.00694444444444444, 1118.5419730936, 1470.70943954256, 1419.94099735747, 2060.56124491329, 26.024071875358, 72.9628694991348, 31.9065282531964
0.00722222222222222, 1254.23878796631, 1478.36224794645, 1419.94099735747, 2060.56124491329, 28.0007487175545, 79.6516057984311, 31.9065282531964
0.0075, 1287.24421118216, 1480.27339766645, 1419.94099735747, 2060.56124491329, 28.5482072911158, 81.4165088140865, 31.9065282531964
0.00777777777777778, 1425.93148507307, 1491.37905904084, 1425.93148507307, 2063.36911333581, 31.7112959832841, 91.075680364515, 31.9065282531964
0.00805555555555556, 1231.03998893887, 1479.1470234113, 1425.93148507307, 2063.36911333581, 28.1244750919204, 79.8794021801201, 31.9065282531964
0.00833333333333333, 1165.7905299853, 1475.61300901938, 1425.93148507307, 2063.36911333581, 26.9992285683562, 76.5959283565476, 31.9065282531964
0.00861111111111111, 1199.23770524351, 1477.01799140076, 1425.93148507307, 2063.36911333581, 27.5061371650224, 78.2179305890512, 31.9065282531964
0.00888888888888889, 1230.90618146155, 1478.67438014107, 1425.93148507307, 2063.36911333581, 28.0112260052737, 79.7465647723302, 31.9065282531964
0.00916666666666667, 1254.55656553589, 1480.28380299959, 1425.93148507307, 2063.36911333581, 28.3639613905264, 80.9161669751341, 31.9065282531964
0.00944444444444444, 1381.61398024327, 1492.03585879978, 1425.93148507307, 2063.36911333581, 32.1284147218793, 91.193639827785, 32.1284147218793
0.00972222222222222, 1346.55474167418, 1489.87499043489, 1425.93148507307, 2063.36911333581, 31.5006504496721, 89.1567081277665, 32.1284147218793
0.01, 1341.38346739278, 1490.6504747981, 1425.93148507307, 2063.36911333581, 31.9724242158167, 89.9924812594919, 32.1284147218793
0.0102777777777778, 1402.43438671977, 1496.08280239915, 1425.93148507307, 2063.36911333581, 33.456580291471, 94.496830560304, 33.456580291471
0.0105555555555556, 1406.15247181939, 1496.32038684675, 1425.93148507307, 2063.36911333581, 33.244974385858, 94.3886701100551, 33.456580291471
