Name, Tap, Min, Max, Step, Position
lvr 01,  1.07500,  0.90000,  1.10000,  0.00625, 12
lvr 02,  1.05625,  0.90000,  1.10000,  0.00625, 9
lvr 03,  0.92500,  0.90000,  1.10000,  0.00625, -12
