Reactive,Active,Time
488.8547058105469,-153.84460830688477,0
485.89251708984375,-160.42831420898438,1
483.25987243652344,-165.36084365844727,2
481.21861267089844,-169.16579818725586,3
486.4950256347656,-159.70723342895508,4
487.2374725341797,-160.5669822692871,5
491.70465087890625,-152.34698867797852,6
487.23756408691406,-160.06729888916016,7
484.9834442138672,-161.51747131347656,8
488.2569580078125,-152.4968376159668,9
485.3075866699219,-156.99401092529297,10
487.0945129394531,-151.08856201171875,11
478.94517517089844,-165.46408081054688,12
478.6105499267578,-164.70069122314453,13
481.8658447265625,-159.00676345825195,14
479.6527862548828,-166.0671844482422,15
480.3309631347656,-167.06830215454102,16
487.19590759277344,-155.3338165283203,17
485.56297302246094,-160.2111053466797,18
489.1497344970703,-151.8669548034668,19
485.1303405761719,-157.00277709960938,20
479.2386016845703,-165.40696334838867,21
482.21534729003906,-157.34270095825195,22
485.68785095214844,-150.7272834777832,23
486.5573272705078,-149.07258224487305,24
481.11680603027344,-157.78330993652344,25
480.95118713378906,-154.93155670166016,26
473.80499267578125,-167.53755569458008,27
477.9459228515625,-159.1468276977539,28
481.6597137451172,-153.6669044494629,29
481.03253173828125,-156.6863136291504,30
473.99029541015625,-170.60321044921875,31
475.60597229003906,-166.88582611083984,32
476.51234436035156,-167.41967010498047,33
478.70343017578125,-166.74212265014648,34
485.6436767578125,-155.84959030151367,35
483.9978332519531,-160.20899963378906,36
480.8919982910156,-164.4400978088379,37
476.25682067871094,-171.06351470947266,38
476.92730712890625,-168.8045997619629,39
480.8685607910156,-161.83510208129883,40
477.8719940185547,-169.4615707397461,41
480.83949279785156,-163.99976348876953,42
477.3171844482422,-171.40912628173828,43
482.6917419433594,-160.43310928344727,44
479.23402404785156,-167.4239845275879,45
478.9984588623047,-167.01613998413086,46
479.79881286621094,-164.40242385864258,47
475.7171173095703,-171.9894676208496,48
477.60223388671875,-167.6071014404297,49
474.4054412841797,-174.6233024597168,50
481.19091796875,-161.93204498291016,51
475.47377014160156,-174.5339126586914,52
475.12632751464844,-175.4000587463379,53
478.05638122558594,-170.1598777770996,54
475.5491180419922,-177.02850723266602,55
477.03895568847656,-175.65320205688477,56
480.7475280761719,-169.9951057434082,57
475.2772979736328,-182.28594589233398,58
477.3307800292969,-178.33756256103516,59
479.4978790283203,-175.18199157714844,60
480.6407775878906,-174.38153457641602,61
476.3074951171875,-183.6349868774414,62
482.3174743652344,-171.17338943481445,63
475.87632751464844,-184.5508575439453,64
481.5297088623047,-173.4291000366211,65
477.8496551513672,-182.10847091674805,66
475.11236572265625,-188.3056640625,67
483.43890380859375,-172.43984985351562,68
480.5108184814453,-180.07665252685547,69
482.7197570800781,-175.41035842895508,70
482.6534729003906,-174.2138214111328,71
477.6771697998047,-182.78707122802734,72
477.4098358154297,-181.99684524536133,73
474.0245361328125,-189.3013687133789,74
475.2323913574219,-188.80896377563477,75
474.9202423095703,-193.05951690673828,76
479.92030334472656,-187.34850311279297,77
485.2444152832031,-180.30858993530273,78
482.4103546142578,-187.36587524414062,79
482.2334747314453,-186.7163314819336,80
485.7878723144531,-178.5322151184082,81
472.90708923339844,-203.59561157226562,82
482.3258972167969,-183.92384719848633,83
481.71917724609375,-187.49281311035156,84
480.42466735839844,-192.28033447265625,85
481.47084045410156,-191.4217758178711,86
487.7824401855469,-180.1248664855957,87
482.94227600097656,-190.51262283325195,88
482.1351013183594,-190.82401657104492,89
485.1206359863281,-184.23696899414062,90
480.6264953613281,-193.46141052246094,91
477.6202697753906,-199.36026763916016,92
479.2481231689453,-197.297607421875,93
482.3760223388672,-194.08602905273438,94
484.24671936035156,-193.59619903564453,95
484.7073211669922,-195.02771759033203,96
481.757080078125,-202.72943115234375,97
486.80914306640625,-194.50691986083984,98
485.3328552246094,-199.53861236572266,99
506.72723388671875,-180.83145904541016,100
543.9720611572266,-150.0201301574707,101
572.5434265136719,-121.66630554199219,102
562.1902770996094,-128.7122039794922,103
536.1907196044922,-125.89432525634766,104
500.40403747558594,-138.4980354309082,105
474.84027099609375,-148.86643981933594,106
473.6506805419922,-145.88838958740234,107
494.18678283691406,-134.97698593139648,108
522.7852935791016,-119.58888244628906,109
545.9161376953125,-98.49237442016602,110
539.3552856445312,-98.5224838256836,111
504.8945617675781,-123.65072250366211,112
481.0389404296875,-128.4906120300293,113
477.35023498535156,-124.434814453125,114
487.8789367675781,-124.14348220825195,115
509.23365783691406,-116.20186614990234,116
524.8888549804688,-114.46797180175781,117
527.3006744384766,-118.25943374633789,118
526.3662872314453,-107.58843612670898,119
506.5425567626953,-123.1754035949707,120
497.7490997314453,-120.19303894042969,121
493.5396423339844,-127.23724365234375,122
501.346435546875,-127.31829071044922,123
514.4740905761719,-122.18618774414062,124
530.4672546386719,-109.49538803100586,125
526.1513214111328,-120.6672248840332,126
515.1635284423828,-126.28252029418945,127
507.103271484375,-125.33737564086914,128
497.6766357421875,-141.5880889892578,129
506.6656036376953,-136.22410583496094,130
522.6987762451172,-127.03659439086914,131
532.1737518310547,-127.99588394165039,132
537.5377349853516,-120.75856018066406,133
528.5067901611328,-124.97078704833984,134
510.02073669433594,-138.5292205810547,135
495.7250518798828,-150.56530380249023,136
496.5402374267578,-156.11219787597656,137
526.4279022216797,-127.21744537353516,138
541.4372406005859,-129.47958755493164,139
545.8254547119141,-126.36098098754883,140
534.2149200439453,-126.74026107788086,141
513.3511505126953,-133.85292434692383,142
494.6082458496094,-146.5250473022461,143
496.42918395996094,-144.91817092895508,144
515.0992584228516,-134.97270584106445,145
535.5722351074219,-126.65937423706055,146
544.1614837646484,-125.50212478637695,147
534.6299285888672,-134.46878814697266,148
516.251953125,-143.69190216064453,149
506.4477081298828,-142.65095901489258,150
502.26988220214844,-152.9095802307129,151
518.7433776855469,-139.62775039672852,152
531.7331085205078,-138.48183059692383,153
543.2062225341797,-131.51971435546875,154
537.5771026611328,-139.1693115234375,155
526.1992950439453,-143.4283218383789,156
515.3482818603516,-148.65901565551758,157
509.2001953125,-159.2739372253418,158
518.3657684326172,-154.39789581298828,159
536.8501739501953,-140.18597030639648,160
545.8055877685547,-141.62083053588867,161
546.7818145751953,-139.76631546020508,162
529.9373474121094,-155.46184158325195,163
526.1823120117188,-144.62064743041992,164
512.4140167236328,-167.6239128112793,165
520.3373565673828,-161.06608200073242,166
539.3662719726562,-143.97529220581055,167
546.7874908447266,-147.71754455566406,168
544.7733306884766,-150.3009910583496,169
534.3475799560547,-154.9258918762207,170
526.9069976806641,-155.12870407104492,171
520.1145172119141,-165.61382675170898,172
527.3291015625,-160.8288459777832,173
540.1080322265625,-151.2754669189453,174
549.9563140869141,-145.23393630981445,175
547.7353820800781,-148.18593978881836,176
539.7013092041016,-146.1313934326172,177
518.5198516845703,-167.2595558166504,178
517.2360076904297,-161.71647262573242,179
526.7786407470703,-154.43241119384766,180
533.1988220214844,-160.90998458862305,181
544.4654388427734,-153.80209350585938,182
557.2643737792969,-137.16708755493164,183
539.1866912841797,-165.0025405883789,184
529.8226776123047,-161.69324111938477,185
519.0537414550781,-173.40812301635742,186
527.3865966796875,-166.48379516601562,187
546.4270477294922,-148.54082107543945,188
555.0325927734375,-147.10224151611328,189
551.5431060791016,-149.7396125793457,190
