Reactive,Active,Time
771.7730712890625,-350.80313873291016,0
774.6946105957031,-357.6232223510742,1
780.3950500488281,-350.85221099853516,2
775.5053100585938,-361.9321746826172,3
770.1058044433594,-371.3863220214844,4
770.7243347167969,-371.67899322509766,5
771.6336364746094,-379.41487884521484,6
780.1981201171875,-376.4512481689453,7
783.8851318359375,-385.5383605957031,8
787.857421875,-390.810791015625,9
792.498779296875,-391.7936096191406,10
795.1573791503906,-394.24085998535156,11
796.9451293945312,-396.1414489746094,12
795.4638977050781,-402.12474060058594,13
799.2856750488281,-396.2626647949219,14
793.9697570800781,-410.7948303222656,15
799.4035949707031,-403.3062744140625,16
801.9684448242188,-404.5850372314453,17
801.9434509277344,-410.7893371582031,18
804.0478820800781,-410.9156799316406,19
809.1501159667969,-404.53692626953125,20
809.9208984375,-405.0981903076172,21
803.2721557617188,-416.8139190673828,22
802.9015502929688,-414.5071105957031,23
802.2951049804688,-419.5137634277344,24
806.4772338867188,-418.25372314453125,25
808.7933349609375,-421.2802734375,26
803.3369750976562,-438.608642578125,27
805.7633056640625,-439.2293243408203,28
818.2743530273438,-424.98033142089844,29
824.4495849609375,-425.0442352294922,30
825.1383361816406,-425.8195495605469,31
817.3222045898438,-434.79945373535156,32
807.5415344238281,-446.6910095214844,33
811.1269226074219,-438.03350830078125,34
815.4718322753906,-438.4270477294922,35
815.4130554199219,-450.10084533691406,36
820.6885986328125,-448.81256103515625,37
826.188720703125,-447.0654602050781,38
827.4545288085938,-450.25177001953125,39
829.2877807617188,-448.2823791503906,40
826.5224304199219,-454.5047149658203,41
825.7249145507812,-455.9222717285156,42
823.5039367675781,-462.12322998046875,43
825.6041564941406,-462.10418701171875,44
830.0404357910156,-460.96234130859375,45
830.3734130859375,-469.89244079589844,46
835.0525817871094,-466.8862609863281,47
836.347412109375,-469.1700897216797,48
834.2382202148438,-476.6210632324219,49
837.3966064453125,-471.7522888183594,50
832.8240966796875,-485.62303161621094,51
837.1922607421875,-481.80738830566406,52
843.0411071777344,-478.4995880126953,53
846.9450073242188,-477.7390594482422,54
844.0869140625,-485.35203552246094,55
842.8487548828125,-484.88429260253906,56
839.3236083984375,-491.42271423339844,57
836.2159423828125,-500.65924072265625,58
845.7633361816406,-487.247314453125,59
850.6172790527344,-487.1766357421875,60
849.1189270019531,-494.6671600341797,61
850.4547729492188,-488.79322814941406,62
844.12353515625,-498.1731262207031,63
843.6923217773438,-496.1946716308594,64
842.1696166992188,-501.72743225097656,65
846.189697265625,-500.82884216308594,66
844.4153137207031,-515.5995483398438,67
854.9682312011719,-503.46849060058594,68
859.3572692871094,-505.09263610839844,69
857.5398559570312,-513.5127868652344,70
859.4148559570312,-507.70921325683594,71
856.5421142578125,-511.2865447998047,72
855.1088562011719,-511.79644775390625,73
857.8225708007812,-504.90907287597656,74
856.5734252929688,-507.77655029296875,75
853.2230529785156,-513.1339416503906,76
847.8807678222656,-522.9873962402344,77
846.5577392578125,-528.8264465332031,78
860.0026245117188,-510.9320526123047,79
865.9875183105469,-510.75498962402344,80
859.5376281738281,-527.0733489990234,81
860.69677734375,-519.0805206298828,82
863.5152282714844,-510.7701416015625,83
862.6756896972656,-512.6920623779297,84
856.6731262207031,-522.4826202392578,85
858.2152404785156,-515.137939453125,86
855.4205932617188,-520.9413299560547,87
857.7276306152344,-516.6868286132812,88
856.9888000488281,-519.034423828125,89
851.167236328125,-532.9708099365234,90
855.8067626953125,-526.2845306396484,91
