Reactive,Active,Time
485.21241760253906,-157.21972274780273,0
480.5169982910156,-165.7804412841797,1
478.75364685058594,-168.0351676940918,2
482.1020050048828,-161.49554443359375,3
484.0648498535156,-158.74376678466797,4
486.321533203125,-154.24796676635742,5
480.3091278076172,-164.4821662902832,6
481.842041015625,-158.98249053955078,7
492.0370788574219,-137.27331161499023,8
475.08265686035156,-169.3513641357422,9
484.1209259033203,-146.795654296875,10
477.68101501464844,-157.83895111083984,11
479.64793395996094,-152.58531188964844,12
478.1393280029297,-154.57483291625977,13
474.21922302246094,-161.7066650390625,14
474.9619903564453,-159.78468704223633,15
475.0242462158203,-161.0921401977539,16
479.95509338378906,-153.5994987487793,17
475.2208557128906,-165.19049835205078,18
479.8992004394531,-156.5170783996582,19
478.8424987792969,-159.6599578857422,20
477.0808868408203,-163.6658477783203,21
480.0867919921875,-157.62873458862305,22
477.21478271484375,-164.11100006103516,23
476.95188903808594,-164.77267456054688,24
479.6147918701172,-159.94173431396484,25
482.06483459472656,-155.66690826416016,26
476.65562438964844,-165.92890548706055,27
479.4348449707031,-158.91879272460938,28
478.55213928222656,-160.11639404296875,29
481.12696838378906,-154.07321548461914,30
475.6153106689453,-163.7318572998047,31
473.14892578125,-166.96893310546875,32
474.2801055908203,-164.65033721923828,33
473.12457275390625,-168.82129669189453,34
476.3341827392578,-164.8985252380371,35
474.1647033691406,-172.05085372924805,36
478.4220428466797,-165.20955276489258,37
481.04310607910156,-160.99386978149414,38
478.5542907714844,-165.37033081054688,39
476.1058044433594,-168.06646728515625,40
470.318115234375,-178.11125564575195,41
479.77684020996094,-159.0439796447754,42
473.962646484375,-172.22731018066406,43
476.42738342285156,-166.8182373046875,44
473.0587463378906,-172.96393203735352,45
479.56480407714844,-160.01504516601562,46
475.1605224609375,-169.61701583862305,47
473.15533447265625,-172.95101165771484,48
477.8352355957031,-162.89422988891602,49
474.29644775390625,-170.06427383422852,50
477.76812744140625,-162.52102661132812,51
468.4058532714844,-180.91057205200195,52
472.7729187011719,-171.98247528076172,53
478.4941864013672,-162.49652481079102,54
476.5870056152344,-168.00891494750977,55
472.79933166503906,-174.98864364624023,56
471.7187805175781,-176.60982513427734,57
473.19744873046875,-175.36652755737305,58
475.0337677001953,-174.28899765014648,59
473.1532745361328,-180.3856315612793,60
470.89324951171875,-186.7965316772461,61
477.34043884277344,-176.3671646118164,62
471.901611328125,-190.8551025390625,63
479.09193420410156,-178.9317283630371,64
474.3069305419922,-191.5000762939453,65
484.0670928955078,-173.3459930419922,66
485.56883239746094,-171.50968551635742,67
482.32054138183594,-176.1624870300293,68
479.57936096191406,-176.89078521728516,69
473.2371368408203,-185.24864959716797,70
476.21356201171875,-176.72284698486328,71
470.6648254394531,-188.05645751953125,72
475.87229919433594,-178.9189453125,73
477.3428649902344,-178.85133361816406,74
474.0355682373047,-187.46713256835938,75
480.77439880371094,-174.40070343017578,76
473.2288055419922,-190.6626319885254,77
474.95960998535156,-186.8627471923828,78
474.5701446533203,-188.72264099121094,79
473.7435607910156,-193.10472106933594,80
475.27162170410156,-193.10874938964844,81
481.50453186035156,-183.76337814331055,82
475.19970703125,-198.86260986328125,83
479.353271484375,-191.05546188354492,84
477.6133575439453,-196.4285888671875,85
480.72825622558594,-192.65789794921875,86
483.8139953613281,-188.52843475341797,87
480.7321472167969,-195.55451202392578,88
482.95225524902344,-190.43639755249023,89
478.6409454345703,-198.69637298583984,90
482.72447204589844,-190.58228302001953,91
475.2422332763672,-207.15847778320312,92
479.6966857910156,-199.89562225341797,93
482.53871154785156,-197.6301727294922,94
483.4438934326172,-198.9386444091797,95
484.0924987792969,-199.0675506591797,96
479.4394226074219,-209.12484741210938,97
482.29925537109375,-204.4797134399414,98
485.4628601074219,-200.76947021484375,99
531.1668548583984,-159.95478057861328,100
604.6799011230469,-103.76213455200195,101
626.0550384521484,-78.04775619506836,102
580.0980377197266,-81.58090209960938,103
512.3107452392578,-94.05168914794922,104
448.2985382080078,-117.48952102661133,105
446.2273406982422,-108.6364631652832,106
510.15074157714844,-69.07051849365234,107
583.0592193603516,-23.93037700653076,108
594.3126525878906,-21.74544048309326,109
550.9368896484375,-32.09782791137695,110
489.4306640625,-52.120805740356445,111
435.91868591308594,-71.84866333007812,112
423.9144287109375,-86.76829147338867,113
488.73619079589844,-47.43869876861572,114
569.7566070556641,-1.893446147441864,115
578.5691528320312,-22.11580181121826,116
543.7534790039062,-27.927815437316895,117
483.0856475830078,-55.471750259399414,118
435.6995086669922,-72.70361709594727,119
435.8445281982422,-74.80605125427246,120
498.5215301513672,-44.36667442321777,121
573.4454040527344,-7.900413751602173,122
589.2848052978516,-5.401391506195068,123
543.6548767089844,-25.238571166992188,124
485.389892578125,-50.005937576293945,125
444.2652282714844,-55.552791595458984,126
428.9248352050781,-74.20743942260742,127
477.6422424316406,-59.78001022338867,128
554.6816711425781,-25.41020107269287,129
597.54638671875,-3.480872392654419,130
561.2762145996094,-36.194915771484375,131
510.0150146484375,-53.78552055358887,132
464.59693908691406,-72.64909172058105,133
446.78411865234375,-84.84493446350098,134
482.43479919433594,-84.60582733154297,135
566.8720092773438,-40.876094818115234,136
608.3392639160156,-32.95686149597168,137
586.5179901123047,-50.77779579162598,138
539.8510437011719,-66.41431045532227,139
496.44122314453125,-82.48124885559082,140
463.62652587890625,-100.58633422851562,141
481.19517517089844,-97.0147819519043,142
546.2124481201172,-79.28348922729492,143
619.6192932128906,-41.153340339660645,144
619.5142364501953,-50.60899543762207,145
572.5421905517578,-74.39380645751953,146
525.4144592285156,-99.91739273071289,147
498.71282958984375,-98.52116775512695,148
483.0941619873047,-120.48345565795898,149
523.0177459716797,-112.87527465820312,150
591.7025299072266,-95.03013610839844,151
627.7213439941406,-87.85890197753906,152
599.2026214599609,-114.97428131103516,153
562.5396423339844,-121.60536575317383,154
529.1441802978516,-129.21660232543945,155
512.0348052978516,-133.44594955444336,156
528.7925720214844,-139.06061553955078,157
578.9539489746094,-136.9031753540039,158
629.1992797851562,-122.42199325561523,159
630.4260406494141,-127.0718765258789,160
592.4462127685547,-144.5994758605957,161
554.9766998291016,-155.8861427307129,162
526.69921875,-166.95608139038086,163
536.4575042724609,-169.32870483398438,164
596.7643890380859,-148.89052963256836,165
647.4759521484375,-143.2983627319336,166
651.5130157470703,-142.19435119628906,167
613.2206268310547,-156.23717880249023,168
570.7167205810547,-173.4389533996582,169
541.5283355712891,-178.5080337524414,170
542.9255676269531,-184.1297149658203,171
597.1406707763672,-163.65359115600586,172
652.7291564941406,-151.51558685302734,173
663.1978912353516,-147.66815185546875,174
627.4590911865234,-160.66647720336914,175
584.3616027832031,-178.86540985107422,176
556.6268463134766,-177.40856552124023,177
545.4065551757812,-187.31865692138672,178
576.6967620849609,-184.8636932373047,179
640.4283142089844,-155.45134735107422,180
661.8088073730469,-156.42874145507812,181
643.3928833007812,-156.8246955871582,182
606.0107574462891,-171.32477188110352,183
576.5343017578125,-176.28086471557617,184
554.18115234375,-185.3060646057129,185
559.9106140136719,-194.24839782714844,186
612.4203186035156,-176.02779006958008,187
659.8098449707031,-168.86656951904297,188
659.8379058837891,-179.52051544189453,189
636.6361541748047,-173.5521583557129,190
606.7456512451172,-174.95756149291992,191
581.6827697753906,-174.6493377685547,192
550.0813293457031,-207.56641387939453,193
567.5034027099609,-205.0810775756836,194
628.5261840820312,-188.77985000610352,195
690.6611938476562,-162.44303512573242,196
687.6457672119141,-170.66777801513672,197
655.4250640869141,-170.60429763793945,198
620.0568695068359,-176.82435607910156,199
585.5899658203125,-190.93497848510742,200
565.7366638183594,-194.95584869384766,201
578.1069030761719,-191.18177032470703,202
617.35693359375,-197.6602020263672,203
662.2811279296875,-188.43384552001953,204
668.0322875976562,-191.4938507080078,205
643.9316253662109,-198.44689178466797,206
