Voltage,Generation,P,Q,Time
0.988437641668285,145.94755741909347,0,0,0
0.9885057244701029,146.04032104351396,0,0,1
0.990269827256895,146.13456934873173,0,0,2
0.9915764440214201,146.23021125762835,0,0,3
0.9897534399008479,146.3271556930853,0,0,4
0.988519096806984,146.42531157798413,0,0,5
0.9904056360803395,146.5245878352063,0,0,6
0.9894527952616198,146.62489338763268,0,0,7
0.9879703307837717,146.72613715814612,0,0,8
0.9893233660712643,146.8282280696275,0,0,9
0.9888101157603324,146.93107504495825,0,0,10
0.9901492305487005,147.03458700701998,0,0,11
0.9902499774875403,147.13867287869414,0,0,12
0.9900953737592164,147.24324158286228,0,0,13
0.9886503006752482,147.3482020424059,0,0,14
0.9884275424845504,147.45346318020643,0,0,15
0.9902416198445346,147.55893391914552,0,0,16
0.9897075828355614,147.66452318210463,0,0,17
0.9893950795380811,147.77013989196521,0,0,18
0.9893626723874795,147.8756929716089,0,0,19
0.9895716458881896,147.98109134391711,0,0,20
0.9898467681650285,148.08624393177138,0,0,21
0.9900421507430204,148.19105965805323,0,0,22
0.9891369341181239,148.29544744564421,0,0,23
0.9897036223922254,148.39931621742573,0,0,24
0.9904172553498917,148.50257489627944,0,0,25
0.9903644931861998,148.60513240508675,0,0,26
0.9889471966515488,148.70689766672916,0,0,27
0.9914006158376123,148.8077796040883,0,0,28
0.9884172319025938,148.90768714004554,0,0,29
0.989040862855711,149.00652919748254,0,0,30
0.9905901951953613,149.10421469928067,0,0,31
0.9903020610280383,149.20065256832157,0,0,32
0.9894241089091255,149.2957517274867,0,0,33
0.9899399277971034,149.38942109965754,0,0,34
0.9908516696068463,149.48156960771564,0,0,35
0.9908999264990935,149.57210617454245,0,0,36
0.9904816644718113,149.66093972301962,0,0,37
0.9893316359311808,149.74797917602854,0,0,38
0.9897813142374149,149.83313345645078,0,0,39
0.9890183187653513,149.9163114871678,0,0,40
0.9892927478413297,149.9974221910612,0,0,41
0.9900082336125524,150.07637449101242,0,0,42
0.9914261931924627,150.15307730990298,0,0,43
0.9900750060926168,150.22743957061442,0,0,44
0.9912520638970277,150.29937019602826,0,0,45
0.9895229424746392,150.368778109026,0,0,46
0.9908091321427491,150.43557223248914,0,0,47
